magazine,page,entreprise,ticker,categorie,signal,preuve
Börse Online 39/2026,56,AIRBUS,AIR.PA,Qualité,"Position dominante, marque, avantage concurrentiel",Die A320-Familie ist das Rückgrat von Airbus und steht für den Großteil der Auslieferungen
Capital 07/2026,95,Alcon,ALC.SW,Catalyseur,"Fusion, rachat, scission, spéculation d'OPA","Wenn es mit einem Zukauf klappt und Alcon sich technologisch erneut an die Spitze setzt, könnte der Aktienkurs davon profitieren."
Capital 07/2026,95,Alcon,ALC.SW,Qualité,Marges / rentabilité élevées,"Freie liquide Mittel von mehr als 1,2 Mrd. Dollar sollten zuletzt für Zukäufe eingesetzt werden."
Börse Online 27/2026,41,Allianz,ALV.DE,Qualité,"Position dominante, marque, avantage concurrentiel",Der Konzern ist in Europa Marktführer im Sachgeschäft.
Börse Online 27/2026,41,Allianz,ALV.DE,Qualité,Marges / rentabilité élevées,Die Sparte Sach- und Unfallversicherung ist die profitabelste des Konzerns
Börse Online 27/2026,41,Allianz,ALV.DE,Catalyseur,Retournement / restructuration / réduction des coûts,"Dank Marktkonzentration, Preisgestaltung und Skaleneffekten wird die Auszahlung an die Aktionäre weiter steigen."
Euro 07/2026,87,ALLIANZ,ALV.DE,Qualité,"Position dominante, marque, avantage concurrentiel",wettbewerbsfähige Preise und zugleich steigende Marktanteile
Euro 07/2026,87,ALLIANZ,ALV.DE,Thème / macro,"IA, semi-conducteurs, data centers","Digitalisierung, Automatisierung und Datenanalyse investiert. Die Kooperation mit Anthropic und der Einsatz von KI bei Analyse, Schadenbearbeitung und Compliance unterstreichen diese Strategie."
Euro 07/2026,87,ALLIANZ,ALV.DE,Qualité,"Bilan solide, trésorerie, cash-flow","Kurs-Buchwert-Verhältnis 2,2 | Kurs-Cashflow-Verhältnis 11,0"
Euro 07/2026,87,ALLIANZ,ALV.DE,Rendement actionnaire,Dividende élevé ou en hausse,"Dividendenrendite 4,5 %"
Euro 07/2026,87,ALLIANZ,ALV.DE,Qualité,Marges / rentabilité élevées,"Eigenkapitalrendite 17,8 %"
Euro 10/2026,60,ALLIANZ,ALV.DE,Rendement actionnaire,Dividende élevé ou en hausse,"Seit 16 Jahren hebt der Konzern die Ausschüttung ununterbrochen an, sie hat sich binnen zehn Jahren verdoppelt. Dividendenrendite: 4,5 %."
Euro 10/2026,60,ALLIANZ,ALV.DE,Qualité,"Bilan solide, trésorerie, cash-flow","Wer auf Solidität setzt... Der Münchner Konzern ist Europas größter Versicherer mit starken Positionen in Deutschland, Großbritannien, Italien und Frankreich."
Börse Online 33/2026,10,Alphabet (Google Cloud),GOOGL,Croissance,Croissance du CA / des bénéfices,Google Cloud die Rivalen Amazon und Microsoft in den Schatten. Mit einem Plus von 82 Prozent
Börse Online 33/2026,10,Alphabet (Google Cloud),GOOGL,Qualité,Marges / rentabilité élevées,Die Umsätze mit Microsofts Plattform Azure stiegen im Jahresvergleich um rund 43 Prozent.
Euro 10/2026,34,Altria,MO,Qualité,Marges / rentabilité élevées,"Basis ist ein außergewöhnlich profitables Geschäftsmodell. Mit Marlboro hält der Konzern über 40 Prozent Marktanteil im US-Zigarettenmarkt, die Produktion ist hochautomatisiert, die operative Marge liegt bei über 50 Prozent."
Euro 10/2026,34,Altria,MO,Qualité,"Bilan solide, trésorerie, cash-flow","Die Bilanz gilt als sehr solide, Kundengelder für Gehälter oder Steuern erzielen Zinserträge. Preiserhöhungen glichen über Jahrzehnte den strukturellen Mengenrückgang mehr als aus"
Euro 10/2026,34,Altria,MO,Rendement actionnaire,Dividende élevé ou en hausse,"Altria zählt zu den verlässlichsten Zahlern der Wall Street: 56 Jahre in Folge wurde die Dividende erhöht, die Rendite liegt bei sechs Prozent. ADP erhöht seit über 50 Jahren die Dividende und hat die Ausschüttung zuletzt weiter gesteigert."
Euro 10/2026,34,Altria,MO,Qualité,Revenus récurrents / défensifs,"Das sorgt für wiederkehrende Erlöse, hohe Kundenbindung und robuste Cashflows. Kundengelder für Gehälter oder Steuern erzielen Zinserträge. Preiserhöhungen glichen über Jahrzehnte den strukturellen Mengenrückgang mehr als aus"
Börse Online 27/2026,59,AMG CRITICAL MATERIALS,AMG.AS,Qualité,Marges / rentabilité élevées,könnte sich mittelfristig auch zu einem margenstarken Wachstumstreiber entwickeln.
Börse Online 27/2026,59,AMG CRITICAL MATERIALS,AMG.AS,Catalyseur,"Décision juridique, réglementaire ou politique favorable","schließt eine kritische Lücke in der amerikanischen Lieferkette für Luftfahrt, Raumfahrt, Verteidigung und Energietechnologien"
Euro 10/2026,44,Amundi Euro Corporate 0-1Y ESG ETF,,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",Günstig bewertete Aktien
Euro 10/2026,39,Amundi MSCI Robotics & AI,,Thème / macro,"IA, semi-conducteurs, data centers","Mit KI werden Roboter flexibler, aus stumpfen Automaten werden clevere Helfer"
Euro 10/2026,39,Amundi MSCI Robotics & AI,,Croissance,Croissance du CA / des bénéfices,Gewinne. Unitree lieferte 2025 rund 5.500 Humanoide aus.
Euro 10/2026,44,Amundi Prime Euro Government Bond 0-1Y ETF,,Thème / macro,"Taux, inflation, cycle, géopolitique, devises",Euro-Staatsanleihen Kurzläufer
Euro 10/2026,44,Antecedo Independent Invest,,Rendement actionnaire,Dividende élevé ou en hausse,ausschüttend
Euro 10/2026,44,Antecedo Independent Invest,,Qualité,"Bilan solide, trésorerie, cash-flow",Absolute-Return-Ansatz
Börse Online 27/2026,63,Apple,AAPL,Qualité,"Position dominante, marque, avantage concurrentiel","Dass Apple solche Aufschläge durchsetzen kann, ohne Kunden zu verlieren, belegt die Preissetzungsmacht der Marke"
Börse Online 27/2026,63,Apple,AAPL,Rendement actionnaire,Rachats d'actions,Das lässt mehr Geld für Dividenden und Aktienrückkäufe.
Börse Online 39/2026,23,Arcturus Therapeutics,ARCT,Valorisation,"Décote / sous-évaluation, valeur intrinsèque, somme des parties",Bei einer Marktkapitalisierung von weniger als einer halben Milliarde Dollar ist — trotz der Gewinne im Umfeld der Moderna-Merck-Daten — kaum zukünftiger wirtschaftlicher Erfolg in den aktuellen Kurs eingepreist.
Börse Online 39/2026,23,Arcturus Therapeutics,ARCT,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",KGV 2027e
Börse Online 39/2026,23,Arcturus Therapeutics,ARCT,Qualité,"Bilan solide, trésorerie, cash-flow",Die finanzielle Ausstattung bietet ausreichend Spielraum für diese Entwicklungsschritte.
Börse Online 39/2026,23,Arcturus Therapeutics,ARCT,Croissance,Pipeline produits / études cliniques / innovation,Im vierten Quartal will Arcturus eine Mukoviszidose-Studie starten
Börse Online 39/2026,23,Arcturus Therapeutics,ARCT,Catalyseur,Retournement / restructuration / réduction des coûts,"Die Aktie ist ein klassischer Turn-around-Kandidat im aktuellen Marktumfeld, den BÖRSE ONLINE nach den überstandenen Turbulenzen rund um den Abgang der Gründer im Frühjahr wieder in die Empfehlungsliste aufnimmt."
Börse Online 39/2026,23,Arcturus Therapeutics,ARCT,Thème / macro,"Santé, vieillissement, biotech",BIOTECH TITEL
Börse Online 39/2026,44,Asmodee Group AB,ASMDEE-B.ST,Croissance,Croissance du CA / des bénéfices,"Umsatz legte von April bis Juni um 20,9 Prozent auf 422,1 Millionen Euro zu"
Börse Online 39/2026,44,Asmodee Group AB,ASMDEE-B.ST,Qualité,Marges / rentabilité élevées,"operative Ebitda sprang um 55 Prozent auf 61,9 Millionen Euro, während die bereinigte Ebitda-Marge letztlich 14,7 Prozent erreichte."
Börse Online 39/2026,44,Asmodee Group AB,ASMDEE-B.ST,Rendement actionnaire,Dividende élevé ou en hausse,"Aktionären winkt zudem erstmals eine Dividende in Höhe von 0,17 Euro je Anteilschein."
Euro 10/2026,73,Assenagon I Multi Asset Conservative,,Croissance,Croissance du CA / des bénéfices,über die letzten zehn Jahre hat der Fonds mehr als dreimal so viel Performance erzielt wie der Fonds
Euro 10/2026,73,Assenagon I Multi Asset Conservative,,Qualité,Revenus récurrents / défensifs,"Der Fonds darf bis zu 40 % in Aktien investieren... Damit ist ein Basis-Baustein, der dem defensiven Anlegerdepot Performance-Schubkraft verleiht"
Börse Online 27/2026,60,Auto1 Group,AG1.DE,Qualité,Marges / rentabilité élevées,"Das Ergebnis des recht profitablen Bereichs könnte um bis zu 80 Prozent steigen. ... Umgerechnet auf die Ertragsrechnung entspricht das einem Ergebnis von 720 Millionen Euro, fast das Dreifache des für 2026 angepeilten Werts."
Börse Online 39/2026,29,Autolus Therapeutics,AUTL,Qualité,"Position dominante, marque, avantage concurrentiel","Die Besonderheit von Aucatzyl liegt in der Art, wie die veränderten T-Zellen an Krebszellen binden."
Börse Online 39/2026,29,Autolus Therapeutics,AUTL,Croissance,Pipeline produits / études cliniques / innovation,Autolus Therapeutics ist dagegen eine spekulative Wette auf eine technisch verbesserte Zelltherapie. Ende 2024 erhielt Autolus die US-Zulassung für Aucatzyl.
Börse Online 39/2026,62,AXA,CS.PA,Qualité,Marges / rentabilité élevées,bereinigtes Ergebnis je Aktie im Schnitt um sieben bis neun Prozent pro Jahr steigern
Börse Online 39/2026,62,AXA,CS.PA,Croissance,Croissance du CA / des bénéfices,In den Jahren 2027 bis 2029 möchte AXA das bereinigte Ergebnis je Aktie im Schnitt um sieben bis neun Prozent pro Jahr steigern
Börse Online 39/2026,62,AXA,CS.PA,Thème / macro,"IA, semi-conducteurs, data centers",Einen wichtigen Hebel sieht der Versicherungskonzern künftig auch im Einsatz von KI
Börse Online 39/2026,19,Bachem,BANB.SW,Qualité,"Position dominante, marque, avantage concurrentiel",Die Marktstellung als bevorzugter Partner der globalen Pharmaindustrie beim Megatrend GLP-1
Börse Online 39/2026,19,Bachem,BANB.SW,Croissance,Croissance du CA / des bénéfices,Garant für eine auf Jahre hinaus hohe Auslastung und überdurchschnittliches Wachstum bei Bachem gewertet werden.
Börse Online 33/2026,37,BASF,BAS.DE,Catalyseur,Retournement / restructuration / réduction des coûts,Das Restrukturierungsprogramm APEX zeigt Wirkung.
Börse Online 33/2026,37,BASF,BAS.DE,Qualité,Marges / rentabilité élevées,"Der Umsatz stieg im zweiten Quartal um satte 16,4 Prozent auf 17,2 Milliarden Euro. Das bereinigte Ebitda legte um gut die Hälfte auf 2,45 Milliarden Euro zu."
Börse Online 33/2026,37,BASF,BAS.DE,Croissance,Croissance du CA / des bénéfices,"Der Umsatz stieg im zweiten Quartal um satte 16,4 Prozent auf 17,2 Milliarden Euro. Das bereinigte Ebitda legte um gut die Hälfte auf 2,45 Milliarden Euro zu."
Börse Online 33/2026,37,BASF,BAS.DE,Croissance,Prévisions relevées / résultats au-dessus des attentes,"Die Jahresprognose wurde angehoben, das bereinigte Ebitda soll nun 6,9 bis 7,7 Milliarden Euro erreichen"
Börse Online 39/2026,40,BASF,BAS.DE,Rendement actionnaire,Rachats d'actions,Zyklisches Tief nutzen Der Chemiekonzern BASF will bis Ende 2028 mindestens vier Milliarden Euro für eigene Aktien ausgeben.
Börse Online 39/2026,40,BASF,BAS.DE,Qualité,"Bilan solide, trésorerie, cash-flow","Aufgefüllt hat der Konzern die Kasse durch den Verkauf des Coating-Geschäfts, der einen Nettocashzufluss von rund 5,6 Milliarden Euro einbrachte. Dadurch kann BASF die Rückkäufe finanzieren und auch die Verschuldung drücken."
Börse Online 39/2026,40,BASF,BAS.DE,Qualité,"Bilan solide, trésorerie, cash-flow","Der lag im ersten Halbjahr im negativen Bereich, soll für das Gesamtjahr aber mit einem Betrag zwischen 1,5 Milliarden Euro und 2,3 Milliarden Euro deutlich positiv werden."
Euro 10/2026,60,BASF,BAS.DE,Qualité,"Position dominante, marque, avantage concurrentiel",Der Weltmarktführer: Genau das macht das Geschäft und die Aktie konjunktursensibel. BASF zählt zu den klaren Weltmarktführern
Euro 10/2026,60,BASF,BAS.DE,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)","Die Bewertung ist niedrig, die Dividendenrendite kann sich sehen lassen."
Euro 10/2026,60,BASF,BAS.DE,Qualité,"Bilan solide, trésorerie, cash-flow",Der Sicherheitsgarant: Ludwigshafen als Vorbild... Wer auf Solidität setzt...
Börse Online 39/2026,58,Basilea Pharmaceutica,BSLN.SW,Croissance,Croissance du CA / des bénéfices,gute Zahlen für das erste Halbjahr
Börse Online 27/2026,36,Bauer,,Valorisation,"Décote / sous-évaluation, valeur intrinsèque, somme des parties","Der Markt bewertet Bauer, als hätte der Konzern sein Sanierungsprogramm noch vor sich."
Börse Online 27/2026,36,Bauer,,Catalyseur,Retournement / restructuration / réduction des coûts,Sichtbar wird der Turn­around von Bauer auch durch die Erweiterung des eigenen Werks in Aresing
Börse Online 27/2026,36,Bauer,,Qualité,Marges / rentabilité élevées,die Profitabilität aber stieg. Vor allem die Schließung unprofitabler Tochtergesellschaften... hat die Kostenstruktur verbessert.
Börse Online 27/2026,36,Bauer,,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)","Das optisch hohe Kurs-Gewinn-Verhältnis (KGV) von über 14 auf Basis des Gewinns von 0,40 Euro je Aktie schreckt zusätzlich ab."
Börse Online 27/2026,64,Bayer,BAYN.DE,Catalyseur,"Décision juridique, réglementaire ou politique favorable","Ein US-Bundesrichter hat vergangene Woche den Versuch vereitelt, den milliardenschweren Glyphosat-Sammelvergleich von Bayer an ein Bundesgericht in Kalifornien zu verlagern."
Börse Online 27/2026,64,Bayer,BAYN.DE,Analyse technique,"Tendance / moyennes mobiles (GD50, GD200)","Da sich zuletzt aber auch das Chartbild wieder aufgeheit hat, wagen wir den direkten Wiedereinstieg bei Bayer."
Börse Online 33/2026,45,Bayer,BAYN.DE,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)","KGV 2027e 15,8"
Börse Online 33/2026,45,Bayer,BAYN.DE,Qualité,Marges / rentabilité élevées,deutliche Margenverbesserung. Sie wurde durch höherpreisige Innovationen sowie Kostensenkungen generiert.
Börse Online 33/2026,45,Bayer,BAYN.DE,Croissance,Pipeline produits / études cliniques / innovation,neue Blockbuster-Wirkstoffe und gentechnische Innovationen in der Pipeline
Börse Online 27/2026,48,BB Biotech,BION.SW,Valorisation,"Décote / sous-évaluation, valeur intrinsèque, somme des parties",Bewertungsabschlag gegenüber dem Nettoinventarwert
Börse Online 27/2026,48,BB Biotech,BION.SW,Croissance,Pipeline produits / études cliniques / innovation,Die Produktpipeline bei den BB-Biotech-Beteiligungen ist gut gefüllt
Börse Online 39/2026,26,Beam Therapeutics,BEAM,Qualité,"Position dominante, marque, avantage concurrentiel",zählt zu den Vorreitern der Base-Editing-Technologie
Börse Online 39/2026,26,Beam Therapeutics,BEAM,Croissance,Pipeline produits / études cliniques / innovation,"Pipeline, Studie, Zulassung, Phase-I/II behandelt. Am 8. September präsentierte das Unternehmen zudem vielversprechende Daten zu Langzeitstudien und einen Fahrplan für die Marktzulassung."
Börse Online 39/2026,26,Beam Therapeutics,BEAM,Avis de tiers,Consensus / objectifs des analystes,Analysten agierten mehrheitlich positiv
Börse Online 33/2026,29,Befesa,BFSA.DE,Qualité,"Position dominante, marque, avantage concurrentiel",Der Konzern mit steueroptimiertem Firmensitz ist die globale Nummer 1 im streng regulierten Markt mit hohen Eintrittsbarrieren.
Börse Online 33/2026,29,Befesa,BFSA.DE,Croissance,Croissance du CA / des bénéfices,"Mit 22,19 Milliarden Euro Umsatz, rund 1,5 Prozent mehr als im Vorjahr, verdiente der Konzern 3,55 Milliarden Euro operativen Gewinn"
Börse Online 39/2026,22,BioNTech,BNTX,Valorisation,"Décote / sous-évaluation, valeur intrinsèque, somme des parties",Investoren zahlen für die gesamte und äußerst tief gestaffelte Pipeline effektiv nur einen Bruchteil des wahren Werts.
Börse Online 39/2026,22,BioNTech,BNTX,Qualité,"Position dominante, marque, avantage concurrentiel",Diese besitzt vollkommen eigene Patente für die Formulierung und die praktische Applikation.
Börse Online 39/2026,22,BioNTech,BNTX,Croissance,Pipeline produits / études cliniques / innovation,"Neue Wachstumstreiber wie Winrevair mit 1,1 Milliarden Dollar... Ein potenzieller Outperformer ist Lipfendra. Dieser erste orale einzunehmende PCSK9-Inhibitor wurde im Juli 2026 zugelassen."
Börse Online 39/2026,22,BioNTech,BNTX,Thème / macro,"Santé, vieillissement, biotech","Der Mainzer Biotechunternehmen verkörpert die attraktivste Möglichkeit, um von der Transformation des Sektors zu profitieren. Biontech liefert den weitaus..."
Börse Online 27/2026,63,Boeing,BA,Croissance,Carnet de commandes / contrats,prall gefüllten Auftragsbuchs
Börse Online 27/2026,63,Boeing,BA,Catalyseur,"Décision juridique, réglementaire ou politique favorable",Grünes Licht der Luftfahrtbehörden ... neue Varianten zuzulassen
Capital 07/2026,94,Booking Holdings,BKNG,Valorisation,Achat après forte baisse / surréaction,Booking zuletzt viel Geld für Aktienrückkäufe ausgab. Im ersten Quartal steckte das Unternehmen fast ein Viertel nachgegeben.
Capital 07/2026,94,Booking Holdings,BKNG,Qualité,"Position dominante, marque, avantage concurrentiel","Mit ihrer „Bestpreis“-Praxis, wonach Hotels auf der eigenen Homepage keine günstigeren Preise anbieten dürfen"
Capital 07/2026,94,Booking Holdings,BKNG,Thème / macro,"IA, semi-conducteurs, data centers",verstärkt in KI zu investieren. Hier hat Konkurrent Expedia die Nase vorne.
Börse Online 27/2026,51,Boston Properties,BXP,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)","KGV 2026e 24,3"
Börse Online 27/2026,51,Boston Properties,BXP,Qualité,Marges / rentabilité élevées,FFO steht für Funds of Operations und ist die wichtigste Ertragszahl in der Immobilienbranche.
Börse Online 27/2026,51,Boston Properties,BXP,Rendement actionnaire,Dividende élevé ou en hausse,"Dividendenrendite 5,0 %"
Capital 07/2026,92,Boston Scientific,BSX,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",Mit einem Kurs-Gewinn-Verhältnis um 20 ist die Aktie fast schon ein Schnäppchen.
Capital 07/2026,92,Boston Scientific,BSX,Valorisation,Achat après forte baisse / surréaction,Seit Jahresbeginn hat sich der Wert der Aktie halbiert. Boston Scientific will über Zukäufe weiter wachsen
Börse Online 39/2026,60,BRAIN BIOTECH,BNN.DE,Croissance,Pipeline produits / études cliniques / innovation,Die positiven Studiendaten erhöhen zudem die Wahrscheinlichkeit für künftige Zahlungen deutlich
Börse Online 39/2026,60,BRAIN BIOTECH,BNN.DE,Catalyseur,Retournement / restructuration / réduction des coûts,"Stabilisiert sich hier die Situation künftig, sind höhere Kurse drin."
Börse Online 33/2026,56,Bristol-Myers Squibb,BMY,Catalyseur,"Fusion, rachat, scission, spéculation d'OPA",Megafusion mit Astrazeneca? ... könnte ein aus Bristol-Myers Squibb und Astrazeneca hervorgegangener Konzern auf die Börsenwaage bringen.
Börse Online 33/2026,56,Bristol-Myers Squibb,BMY,Valorisation,"Décote / sous-évaluation, valeur intrinsèque, somme des parties","...dass sie die Patentklippe, auf die die Amerikaner zusteuern, deutlich abfedern würde. Entsprechend wohlwollend reagierten die Anleger..."
Börse Online 33/2026,57,Carrefour,CA.PA,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",moderater Bewertungskennziffern
Börse Online 33/2026,57,Carrefour,CA.PA,Rendement actionnaire,Dividende élevé ou en hausse,hoher Dividendenrendite weiter Potenzial
Euro 07/2026,99,Central Japan Railway,9022.T,Qualité,"Position dominante, marque, avantage concurrentiel",Betreibt die berühmte Tokaido-Shinkansen-Linie
Börse Online 39/2026,60,CEWE STIFTUNG,CWC.DE,Catalyseur,"Fusion, rachat, scission, spéculation d'OPA",Unmittelbar vor und nach dem Start des Rückkaufs am 15. September legte die Aktie um über vier Prozent zu
Börse Online 39/2026,60,CEWE STIFTUNG,CWC.DE,Qualité,"Position dominante, marque, avantage concurrentiel",Die Neuausrichtung des Unternehmens mit Fokus auf das Kerngeschäft Fotofinishing kommt an der Börse offenbar gut an.
Börse Online 33/2026,20,Colruyt Group NV,COLR.BR,Qualité,Marges / rentabilité élevées,effiziente Abläufe und attraktive Standorte gegen den anhaltenden Preisdruck im Handel verteidigen kann
Euro 10/2026,66,Comet Holding,COTN.SW,Qualité,"Position dominante, marque, avantage concurrentiel",Schweizer Nischenspieler in Plasmatechnologie
Börse Online 27/2026,52,COPT Defense Properties,CDP,Valorisation,"Décote / sous-évaluation, valeur intrinsèque, somme des parties","wird aktuell mit dem 2,5-Fachen des Buchwerts bewertet"
Börse Online 27/2026,52,COPT Defense Properties,CDP,Catalyseur,"Fusion, rachat, scission, spéculation d'OPA",agiert COPT als strategischer Infrastrukturpartner des US-Militärs
Börse Online 27/2026,52,COPT Defense Properties,CDP,Thème / macro,Défense / armement,Infrastrukturpartner des US-Militärs und der Heimdienste. Es baut Immobilien fast ausschließlich in direkter Nachbarschaft oder sogar innerhalb von geschlossenen Militärstützpunkten.
Börse Online 27/2026,52,COPT Defense Properties,CDP,Qualité,"Position dominante, marque, avantage concurrentiel",über 30 hoch gesicherte Gebäudehüllen für Cloud-Computing und Rechenzentren
Börse Online 27/2026,51,Cousins Properties,CUZ,Qualité,"Position dominante, marque, avantage concurrentiel",Cousins Properties konzentriert sich auf erstklassige Immobilien in Metropolen im Süden der USA mit großem Bevölkerungswachstum
Börse Online 27/2026,51,Cousins Properties,CUZ,Rendement actionnaire,Dividende élevé ou en hausse,"Dividendenrendite 5,0 %"
Börse Online 39/2026,25,Crispr Therapeutics,CRSP,Qualité,"Position dominante, marque, avantage concurrentiel",Der Erste und bisher Einzige Crispr Therapeutics gilt als Pionier im Bereich Genom-Editierung.
Börse Online 39/2026,25,Crispr Therapeutics,CRSP,Croissance,Prévisions relevées / résultats au-dessus des attentes,Analysten schreiben der Aktie mittelfristig dennoch ein Potenzial bis 75 Euro zu. Z
Börse Online 39/2026,57,CrowdStrike,CRWD,Qualité,"Bilan solide, trésorerie, cash-flow",Der freie Cashflow erreichte einen Rekord von 377 Millionen Dollar.
Börse Online 39/2026,57,CrowdStrike,CRWD,Croissance,Croissance du CA / des bénéfices,Im zweiten Quartal des Geschäftsjahres 2027 stieg der Umsatz um 26 Prozent
Börse Online 39/2026,57,CrowdStrike,CRWD,Qualité,Marges / rentabilité élevées,"die wiederkehrenden Erlöse legten um 25 Prozent auf 5,84 Milliarden Dollar zu."
Börse Online 39/2026,57,CrowdStrike,CRWD,Croissance,Prévisions relevées / résultats au-dessus des attentes,Wegen der starken Nachfrage hob der Vorstand die Jahresprognose an.
Börse Online 39/2026,57,CrowdStrike,CRWD,Thème / macro,"IA, semi-conducteurs, data centers",Auslöser waren Warnungen von KI-Großen wie Anthropic-Chef Dario Amodei
Capital 07/2026,95,CTS Eventim,EVD.DE,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)",Perspektiven auf ein Kursplus von bis zu 15 Prozent.
Capital 07/2026,95,CTS Eventim,EVD.DE,Qualité,"Position dominante, marque, avantage concurrentiel",Das Unternehmen wird so zum Vollanbieter
Börse Online 39/2026,61,Daimler Truck,DTG.DE,Thème / macro,"Énergie, transition, infrastructures, réseaux",Mit Wasserstoff auf die Langstrecke ... setzt künftig stärker auf Wasserstoff: Bis Ende des Jahrzehnts will der Konzern mehrere Hundert Millionen Euro in Brennstoffzellenantriebe investieren
Börse Online 39/2026,61,Daimler Truck,DTG.DE,Croissance,Prévisions relevées / résultats au-dessus des attentes,Angesichts des starken Nordamerika-Geschäfts hob Daimler Truck seine Jahresprognose dennoch deutlich an.
Börse Online 39/2026,71,DAX in Punkten,,Analyse technique,"Indicateurs (RSI, MACD, momentum, force relative)","allerdings dazu, dass beim MACD-Indikator auf Wochenbasis ein Verkaufssignal droht."
Börse Online 39/2026,71,DAX in Punkten,,Analyse technique,"Tendance / moyennes mobiles (GD50, GD200)",Nicht mehr gehalten hat jedenfalls ein drei Monate währender Aufwärtstrend
Börse Online 33/2026,69,DAX-Capped-Call,,Analyse technique,"Tendance / moyennes mobiles (GD50, GD200)","solange ein recht steil aussehender, vor zwei Wochen etablierter Aufwärtstrend bestehen kann."
Börse Online 33/2026,69,DAX-Capped-Call,,Produit,"Structure de dérivé (discount, bonus-cap, capped call, turbo)",DAX-Capped-Call
Euro 10/2026,34,DBS Group,D05.SI,Qualité,"Position dominante, marque, avantage concurrentiel",Das Institut aus Singapur gilt als einer der überzeugendsten Dividendentitel der Region. DBS ist die größte Bank Südostasiens und profitiert strukturell von der Rolle Singapurs als sicherer Finanzhafen für ganz Asien.
Euro 10/2026,34,DBS Group,D05.SI,Qualité,"Bilan solide, trésorerie, cash-flow","Die Bilanz gilt als sehr solide, Kundengelder für Gehälter oder Steuern erzielen Zinserträge. Die Eigenkapitalrendite liegt bei 17 Prozent und damit auf Niveau der weltbesten Banken."
Börse Online 33/2026,46,Deere,DE,Qualité,"Position dominante, marque, avantage concurrentiel",Angesichts der starken Marktposition und zuletzt solider Daten stuft die Mehrheit der Analysten das Papier als kaufenswert ein.
Börse Online 33/2026,46,Deere,DE,Valorisation,"Multiple bas (PER/KGV, EV/EBIT, KCV, KUV)","KGV 2027e 24,1"
Börse Online 33/2026,55,Deutsche Bank,DBK.DE,Valorisation,"Décote / sous-évaluation, valeur intrinsèque, somme des parties",traditionellen Bewertungsabschlag gegenüber anderen europäischen Geldhäusern verringern könnte
Börse Online 33/2026,55,Deutsche Bank,DBK.DE,Qualité,"Bilan solide, trésorerie, cash-flow",Moderate Risikovorsorge und Kostenerfolge runden das positive Bild ab.
Börse Online 33/2026,55,Deutsche Bank,DBK.DE,Croissance,Croissance du CA / des bénéfices,"Das Investmentbanking läuft rund, im Anleihehandel übertraf die Bank sogar die US-Konkurrenz"
Börse Online 33/2026,22,Deutsche Börse,DB1.DE,Valorisation,"Décote / sous-évaluation, valeur intrinsèque, somme des parties",handelt die Aktie mit einem Bewertungsabschlag von 25 bis 30 Prozent.
Börse Online 33/2026,22,Deutsche Börse,DB1.DE,Qualité,Marges / rentabilité élevées,trotz vergleichbarer Margenstärke. Die Ebitda-Marge erhöhte sich...
Börse Online 33/2026,22,Deutsche Börse,DB1.DE,Rendement actionnaire,Dividende élevé ou en hausse,"Mit einer Dividendenrendite von 1,7 Prozent bietet der Titel zudem solide Kapitalrückgabe."
Börse Online 33/2026,22,Deutsche Börse,DB1.DE,Catalyseur,Retournement / restructuration / réduction des coûts,erklärt den Turnaround im ersten Halbjahr nicht. Als struktureller Rückenwind bleibt er...
Börse Online 39/2026,8,Deutsche Börse,DB1.DE,Catalyseur,"Fusion, rachat, scission, spéculation d'OPA",Die Fusionsfantasie zwischen Deutscher Börse und Euronext lebt wieder auf.
Börse Online 39/2026,8,Deutsche Börse,DB1.DE,Qualité,Marges / rentabilité élevées,"Der bereinigte operative Gewinn kletterte um 40 Prozent auf 2,14 Milliarden Dollar"
Euro 10/2026,61,Deutsche BörSE,DB1.DE,Qualité,"Position dominante, marque, avantage concurrentiel","Die Markteintrittsbarrieren sind dauerhaft hoch, denn Börsen und Verwahrstellen sind stark reguliert."
Euro 10/2026,61,Deutsche BörSE,DB1.DE,Rendement actionnaire,Dividende élevé ou en hausse,"Dividendenrendite 1,7 %"
Börse Online 39/2026,40,Deutsche Telekom,DTE.DE,Valorisation,"Décote / sous-évaluation, valeur intrinsèque, somme des parties",weit genug unter ihrem inneren Wert liegt
Börse Online 39/2026,40,Deutsche Telekom,DTE.DE,Qualité,"Bilan solide, trésorerie, cash-flow","Nettocashzufluss von rund 5,6 Milliarden Euro einbrachte. Dadurch kann BASF die Rückkäufe finanzieren und auch die Verschuldung drücken."
Euro 10/2026,81,DEUTSCHE TELEKOM,DTE.DE,Qualité,"Position dominante, marque, avantage concurrentiel",Den Chef des größten Telekomkonzerns Europas freut's
